TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2025-04-09,ETERNAL,2025-06-26,160.00,CE,0.00,0.00,0.00,52.75,56.05,0,0,0,211.39
2025-04-09,ETERNAL,2025-05-29,235.00,CE,0.00,0.00,0.00,8.75,8.40,0,0,0,211.39
2025-04-09,ETERNAL,2025-05-29,230.00,CE,6.55,7.70,6.55,7.40,9.85,70000,16000,22,211.39
2025-04-09,ETERNAL,2025-05-29,195.00,CE,0.00,0.00,0.00,24.95,26.25,0,0,0,211.39
2025-04-09,ETERNAL,2025-06-26,240.00,PE,0.00,0.00,0.00,40.55,36.25,0,0,0,211.39
2025-04-09,ETERNAL,2025-05-29,160.00,PE,1.75,2.10,1.75,2.00,1.05,80000,2000,9,211.39
2025-04-09,ETERNAL,2025-04-24,270.00,PE,57.85,57.85,57.85,57.85,57.85,430000,4000,2,211.39
2025-04-09,ETERNAL,2025-04-24,210.00,PE,6.15,8.40,5.75,6.40,6.40,5650000,-684000,2781,211.39
2025-04-09,ETERNAL,2025-04-24,180.00,PE,1.40,1.55,1.05,1.20,1.20,5352000,310000,967,211.39
2025-04-09,ETERNAL,2025-06-26,180.00,CE,0.00,0.00,0.00,38.00,40.30,0,0,0,211.39
2025-04-09,ETERNAL,2025-05-29,240.00,CE,5.10,5.25,4.45,4.90,4.90,124000,36000,29,211.39
2025-04-09,ETERNAL,2025-05-29,220.00,CE,12.20,12.20,10.50,11.10,11.10,234000,2000,43,211.39
2025-04-09,ETERNAL,2025-06-26,180.00,PE,0.00,0.00,0.00,8.50,6.30,0,0,0,211.39
2025-04-09,ETERNAL,2025-05-29,210.00,PE,13.90,14.40,12.90,13.90,14.45,22000,14000,14,211.39
2025-04-09,ETERNAL,2025-05-29,195.00,PE,0.00,0.00,0.00,8.50,8.05,0,0,0,211.39
2025-04-09,ETERNAL,2025-04-24,235.00,CE,1.45,1.45,0.95,1.00,1.00,1738000,56000,644,211.39
2025-04-09,ETERNAL,2025-05-29,225.00,CE,0.00,0.00,0.00,11.80,11.50,2000,0,0,211.39
2025-04-09,ETERNAL,2025-06-26,260.00,CE,0.00,0.00,0.00,6.95,6.65,0,0,0,211.39
2025-04-09,ETERNAL,2025-04-24,195.00,PE,3.40,3.60,2.30,2.60,2.60,1998000,-200000,724,211.39
2025-04-09,ETERNAL,2025-04-24,250.00,PE,40.00,40.00,40.00,40.00,38.55,550000,0,1,211.39
2025-04-09,ETERNAL,2025-06-26,260.00,PE,0.00,0.00,0.00,56.00,51.50,0,0,0,211.39
2025-04-09,ETERNAL,2025-05-29,200.00,CE,20.50,21.00,20.50,21.00,23.15,56000,8000,7,211.39
2025-04-09,ETERNAL,2025-04-24,190.00,CE,24.15,24.60,22.05,24.10,24.10,678000,-24000,56,211.39
2025-04-09,ETERNAL,2025-05-29,225.00,PE,0.00,0.00,0.00,27.55,23.00,0,0,0,211.39
2025-04-09,ETERNAL,2025-05-29,180.00,PE,3.05,3.05,2.70,2.70,3.85,470000,-4000,5,211.39
2025-04-09,ETERNAL,2025-04-24,160.00,PE,0.70,0.70,0.45,0.50,0.50,2982000,-26000,208,211.39
2025-04-09,ETERNAL,2025-06-26,220.00,CE,0.00,0.00,0.00,17.35,17.85,0,0,0,211.39
2025-04-09,ETERNAL,2025-04-24,180.00,CE,34.55,34.55,30.85,33.35,33.35,428000,2000,27,211.39
2025-04-09,ETERNAL,2025-04-24,225.00,CE,3.15,3.85,2.20,2.40,2.40,3976000,194000,1791,211.39
2025-04-09,ETERNAL,2025-04-24,220.00,CE,4.90,5.05,3.25,3.65,3.65,10148000,-48000,3673,211.39
2025-04-09,ETERNAL,2025-06-26,210.00,PE,0.00,0.00,0.00,21.35,17.80,0,0,0,211.39
2025-04-09,ETERNAL,2025-06-26,250.00,PE,0.00,0.00,0.00,48.05,43.65,0,0,0,211.39
