TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,CANBK,2024-03-28,455.00,CE,0.00,0.00,0.00,32.30,26.30,0,0,0,442.50
2024-01-01,CANBK,2024-03-28,415.00,CE,0.00,0.00,0.00,52.95,47.90,0,0,0,442.50
2024-01-01,CANBK,2024-01-25,420.00,PE,8.55,8.55,5.60,6.60,6.60,1887300,-186300,820,442.50
2024-01-01,CANBK,2024-02-29,430.00,PE,0.00,0.00,0.00,43.55,15.60,0,0,0,442.50
2024-01-01,CANBK,2024-02-29,390.00,PE,8.00,8.05,4.05,4.65,4.40,56700,56700,24,442.50
2024-01-01,CANBK,2024-01-25,390.00,PE,2.50,2.50,1.35,1.55,1.55,526500,0,160,442.50
2024-01-01,CANBK,2024-03-28,405.00,CE,0.00,0.00,0.00,59.25,54.65,0,0,0,442.50
2024-01-01,CANBK,2024-03-28,475.00,PE,0.00,0.00,0.00,49.95,43.60,0,0,0,442.50
2024-01-01,CANBK,2024-02-29,440.00,CE,31.35,31.35,31.35,31.35,27.25,2700,2700,1,442.50
2024-01-01,CANBK,2024-01-25,430.00,CE,23.05,28.70,23.05,26.25,26.25,909900,-113400,329,442.50
2024-01-01,CANBK,2024-01-25,475.00,CE,6.30,8.50,6.30,7.40,7.40,467100,45900,282,442.50
2024-01-01,CANBK,2024-02-29,510.00,PE,0.00,0.00,0.00,104.25,67.45,0,0,0,442.50
2024-01-01,CANBK,2024-03-28,370.00,CE,0.00,0.00,0.00,84.65,82.05,0,0,0,442.50
2024-01-01,CANBK,2024-02-29,460.00,PE,0.00,0.00,0.00,63.95,30.70,0,0,0,442.50
2024-01-01,CANBK,2024-03-28,460.00,PE,0.00,0.00,0.00,40.85,34.35,0,0,0,442.50
2024-01-01,CANBK,2024-01-25,460.00,CE,10.50,13.25,10.00,11.55,11.55,1971000,89100,1749,442.50
2024-01-01,CANBK,2024-02-29,480.00,CE,0.00,0.00,0.00,10.95,11.65,0,0,0,442.50
2024-01-01,CANBK,2024-01-25,450.00,CE,13.70,17.50,13.45,15.35,15.35,3377700,16200,2319,442.50
2024-01-01,CANBK,2024-03-28,450.00,PE,0.00,0.00,0.00,35.30,28.85,0,0,0,442.50
2024-01-01,CANBK,2024-02-29,395.00,PE,0.00,0.00,0.00,24.70,5.30,0,0,0,442.50
2024-01-01,CANBK,2024-03-28,475.00,CE,0.00,0.00,0.00,24.60,18.65,0,0,0,442.50
2024-01-01,CANBK,2024-02-29,420.00,CE,0.00,0.00,0.00,28.20,38.90,0,0,0,442.50
