TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,MOTHERSON,2024-01-25,107.00,CE,3.85,6.30,3.85,5.00,5.00,1100500,397600,1045,105.85
2024-01-01,MOTHERSON,2024-03-28,107.00,PE,0.00,0.00,0.00,11.85,6.10,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,93.00,PE,0.00,0.00,0.00,6.60,0.80,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,93.00,CE,13.40,14.00,13.40,14.00,13.40,28400,7100,3,105.85
2024-01-01,MOTHERSON,2024-03-28,115.00,CE,0.00,0.00,0.00,2.50,3.60,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,116.00,CE,0.00,0.00,0.00,2.30,3.30,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,73.00,PE,0.00,0.00,0.00,0.80,0.05,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,91.00,CE,0.00,0.00,0.00,8.40,15.35,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,91.00,CE,0.00,0.00,0.00,8.30,16.40,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,98.00,CE,0.00,0.00,0.00,5.25,10.70,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,86.00,PE,0.00,0.00,0.00,2.15,0.45,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,84.00,PE,0.00,0.00,0.00,2.90,0.10,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,92.00,PE,0.00,0.00,0.00,6.10,0.65,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,91.00,PE,0.95,0.95,0.50,0.60,0.60,198800,-42600,55,105.85
2024-01-01,MOTHERSON,2024-02-29,91.00,PE,0.00,0.00,0.00,5.60,0.55,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,101.00,PE,0.00,0.00,0.00,11.35,2.70,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,101.00,PE,0.00,0.00,0.00,8.15,3.50,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,96.00,PE,0.00,0.00,0.00,8.25,1.30,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,106.00,PE,0.00,0.00,0.00,14.95,4.75,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,90.00,PE,0.00,0.00,0.00,3.30,0.85,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,90.00,PE,0.90,0.90,0.40,0.50,0.50,3379600,35500,783,105.85
2024-01-01,MOTHERSON,2024-03-28,92.00,PE,0.00,0.00,0.00,4.00,1.15,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,101.00,CE,0.00,0.00,0.00,4.25,8.60,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,95.00,PE,0.00,0.00,0.00,7.65,1.10,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,95.00,CE,0.00,0.00,0.00,6.40,13.00,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,81.00,CE,0.00,0.00,0.00,14.65,25.20,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,90.00,PE,1.60,1.65,1.15,1.35,0.45,120700,35500,13,105.85
2024-01-01,MOTHERSON,2024-01-25,114.00,CE,2.20,3.55,2.10,2.65,2.65,2974900,-127800,539,105.85
2024-01-01,MOTHERSON,2024-01-25,114.00,PE,11.55,11.55,8.80,10.10,10.10,49700,49700,29,105.85
2024-01-01,MOTHERSON,2024-03-28,92.00,CE,0.00,0.00,0.00,11.30,16.45,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,94.00,PE,0.00,0.00,0.00,7.10,0.95,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,113.00,CE,0.00,0.00,0.00,1.65,2.95,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,113.00,PE,9.75,9.80,8.10,9.45,9.45,56800,56800,25,105.85
2024-01-01,MOTHERSON,2024-03-28,113.00,CE,0.00,0.00,0.00,2.90,4.20,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,106.00,CE,4.30,6.85,4.20,5.35,5.35,731300,525400,762,105.85
2024-01-01,MOTHERSON,2024-02-29,86.00,CE,0.00,0.00,0.00,11.15,20.95,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,115.00,PE,12.00,12.00,9.40,11.15,11.15,71000,71000,59,105.85
2024-01-01,MOTHERSON,2024-02-29,86.00,PE,0.00,0.00,0.00,3.55,0.20,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,97.00,PE,0.00,0.00,0.00,8.80,1.55,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,77.00,PE,0.00,0.00,0.00,1.35,0.05,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,77.00,CE,0.00,0.00,0.00,17.70,29.70,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,75.00,CE,0.00,0.00,0.00,19.35,31.20,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,75.00,PE,0.00,0.00,0.00,0.10,0.05,49700,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,119.00,PE,0.00,0.00,0.00,21.05,13.80,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,89.00,CE,0.00,0.00,0.00,9.50,17.30,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,122.00,PE,0.00,0.00,0.00,23.60,16.15,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,122.00,CE,1.75,1.85,1.15,1.25,1.25,830700,830700,205,105.85
2024-01-01,MOTHERSON,2024-03-28,122.00,CE,0.00,0.00,0.00,1.45,1.95,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,122.00,PE,0.00,0.00,0.00,28.55,15.90,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,89.00,PE,0.00,0.00,0.00,4.75,0.35,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,89.00,CE,0.00,0.00,0.00,9.35,18.20,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,89.00,PE,0.50,0.50,0.40,0.40,0.05,305300,291100,44,105.85
2024-01-01,MOTHERSON,2024-01-25,99.00,CE,8.00,10.95,7.70,9.40,9.40,532500,35500,101,105.85
2024-01-01,MOTHERSON,2024-01-25,99.00,PE,2.90,2.90,1.55,1.90,1.90,518300,-213000,235,105.85
2024-01-01,MOTHERSON,2024-03-28,118.00,CE,0.00,0.00,0.00,1.95,2.75,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,104.00,CE,0.00,0.00,0.00,3.40,6.80,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,93.00,PE,1.30,1.30,0.65,0.80,0.80,390500,-28400,65,105.85
2024-01-01,MOTHERSON,2024-03-28,93.00,CE,0.00,0.00,0.00,10.70,15.65,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,107.00,PE,0.00,0.00,0.00,15.75,5.25,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,107.00,CE,0.00,0.00,0.00,4.45,6.65,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,107.00,PE,6.45,6.45,4.35,5.30,5.30,312400,220100,215,105.85
2024-01-01,MOTHERSON,2024-02-29,107.00,CE,0.00,0.00,0.00,2.70,5.25,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,108.00,PE,0.00,0.00,0.00,12.55,6.60,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,88.00,PE,0.00,0.00,0.00,4.30,0.30,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,95.00,PE,0.00,0.00,0.00,5.20,1.75,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,95.00,CE,10.45,14.70,10.45,12.45,12.45,873300,-198800,110,105.85
2024-01-01,MOTHERSON,2024-03-28,95.00,CE,0.00,0.00,0.00,9.55,14.10,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,95.00,PE,1.70,1.70,0.80,1.05,1.05,2698000,518300,759,105.85
2024-01-01,MOTHERSON,2024-02-29,81.00,CE,0.00,0.00,0.00,14.60,25.80,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,81.00,PE,0.00,0.00,0.00,2.10,0.05,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,81.00,PE,0.10,0.10,0.10,0.10,0.05,7100,-7100,1,105.85
2024-01-01,MOTHERSON,2024-02-29,104.00,PE,0.00,0.00,0.00,13.45,3.85,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,86.00,CE,0.00,0.00,0.00,11.25,20.25,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,103.00,PE,0.00,0.00,0.00,12.75,3.40,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,77.00,PE,0.00,0.00,0.00,1.25,0.05,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,77.00,CE,0.00,0.00,0.00,17.70,29.20,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,87.00,PE,0.00,0.00,0.00,3.95,0.25,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,87.00,CE,0.00,0.00,0.00,10.65,19.25,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,94.00,PE,0.00,0.00,0.00,4.75,1.55,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,94.00,CE,0.00,0.00,0.00,10.10,14.90,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,94.00,CE,0.00,0.00,0.00,10.35,12.45,14200,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,108.00,CE,0.00,0.00,0.00,4.15,6.20,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,108.00,PE,0.00,0.00,0.00,16.50,5.80,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,108.00,CE,3.70,5.85,3.55,4.60,4.60,1171500,582200,897,105.85
2024-01-01,MOTHERSON,2024-01-25,113.00,CE,2.50,3.85,2.45,2.95,2.95,191700,7100,249,105.85
2024-01-01,MOTHERSON,2024-03-28,84.00,PE,0.00,0.00,0.00,1.70,0.30,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,114.00,PE,0.00,0.00,0.00,17.00,10.20,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,114.00,CE,0.00,0.00,0.00,1.55,2.65,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,87.00,CE,0.00,0.00,0.00,14.65,20.75,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,87.00,PE,0.00,0.00,0.00,2.40,0.50,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,80.00,PE,0.00,0.00,0.00,1.00,0.05,284000,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,116.00,PE,0.00,0.00,0.00,23.15,11.05,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,111.00,CE,0.00,0.00,0.00,1.95,3.60,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,111.00,PE,9.70,9.70,6.90,7.80,7.80,113600,42600,29,105.85
2024-01-01,MOTHERSON,2024-02-29,85.00,CE,0.00,0.00,0.00,11.80,21.90,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,85.00,CE,23.50,23.50,23.30,23.40,21.25,28400,0,3,105.85
2024-01-01,MOTHERSON,2024-01-25,85.00,PE,0.45,0.45,0.20,0.25,0.25,2115800,49700,418,105.85
2024-01-01,MOTHERSON,2024-02-29,85.00,PE,0.00,0.00,0.00,3.25,0.15,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,85.00,PE,0.00,0.00,0.00,1.90,0.35,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,85.00,CE,0.00,0.00,0.00,16.10,22.55,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,120.00,CE,0.00,0.00,0.00,1.70,2.30,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,110.00,PE,0.00,0.00,0.00,13.95,7.70,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,100.00,CE,0.00,0.00,0.00,7.05,10.60,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,88.00,PE,0.65,0.65,0.35,0.40,0.40,887500,0,70,105.85
2024-01-01,MOTHERSON,2024-02-29,110.00,CE,5.60,7.75,5.60,7.10,7.10,78100,49700,12,105.85
2024-01-01,MOTHERSON,2024-02-29,110.00,PE,0.00,0.00,0.00,18.10,6.95,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,80.00,CE,0.00,0.00,0.00,15.35,26.75,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,80.00,CE,0.00,0.00,0.00,15.35,26.20,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,103.00,CE,5.20,8.55,5.15,6.85,6.85,788100,-298200,620,105.85
2024-01-01,MOTHERSON,2024-03-28,116.00,PE,0.00,0.00,0.00,18.55,11.60,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,97.00,CE,9.10,12.75,9.10,10.90,10.90,134900,-63900,28,105.85
2024-01-01,MOTHERSON,2024-01-25,120.00,CE,2.10,2.20,1.40,1.60,1.60,1015300,1015300,377,105.85
2024-01-01,MOTHERSON,2024-02-29,120.00,CE,0.00,0.00,0.00,0.90,1.35,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,109.00,PE,0.00,0.00,0.00,17.30,6.35,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,109.00,CE,0.00,0.00,0.00,2.30,4.40,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,121.00,PE,0.00,0.00,0.00,27.60,15.05,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,121.00,PE,0.00,0.00,0.00,22.75,15.35,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,119.00,PE,0.00,0.00,0.00,26.00,12.95,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,119.00,CE,0.00,0.00,0.00,1.00,1.50,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,119.00,CE,2.30,2.30,2.00,2.00,0.30,56800,56800,14,105.85
2024-01-01,MOTHERSON,2024-02-29,100.00,CE,0.00,0.00,0.00,4.55,9.30,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,100.00,PE,0.00,0.00,0.00,7.60,3.15,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,100.00,CE,6.80,10.70,6.80,8.65,8.65,4437500,-2769000,2167,105.85
2024-01-01,MOTHERSON,2024-01-25,98.00,CE,8.15,12.00,8.15,10.20,10.20,276900,-92300,44,105.85
2024-01-01,MOTHERSON,2024-01-25,116.00,CE,2.80,2.80,2.15,2.25,2.25,28400,28400,8,105.85
2024-01-01,MOTHERSON,2024-01-25,116.00,PE,11.10,11.60,10.60,11.40,11.40,21300,21300,7,105.85
2024-01-01,MOTHERSON,2024-02-29,97.00,CE,0.00,0.00,0.00,5.60,11.45,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,111.00,PE,0.00,0.00,0.00,14.70,8.30,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,108.00,CE,0.00,0.00,0.00,2.50,4.80,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,115.00,CE,0.00,0.00,0.00,1.40,2.40,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,103.00,CE,0.00,0.00,0.00,3.65,7.40,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,103.00,CE,0.00,0.00,0.00,5.80,8.75,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,97.00,CE,0.00,0.00,0.00,8.50,12.65,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,97.00,PE,0.00,0.00,0.00,6.10,2.25,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,120.00,PE,0.00,0.00,0.00,26.70,14.20,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,120.00,PE,13.50,13.50,13.50,13.50,13.85,7100,7100,1,105.85
2024-01-01,MOTHERSON,2024-02-29,99.00,PE,0.00,0.00,0.00,10.05,2.05,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,99.00,CE,0.00,0.00,0.00,7.50,11.25,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,99.00,CE,0.00,0.00,0.00,4.90,10.00,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,99.00,PE,0.00,0.00,0.00,7.10,2.80,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,117.00,PE,11.50,12.60,11.35,12.15,12.15,56800,56800,17,105.85
2024-01-01,MOTHERSON,2024-01-25,122.00,PE,0.00,0.00,0.00,28.70,15.75,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,122.00,CE,0.00,0.00,0.00,0.75,1.05,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,74.00,PE,0.00,0.00,0.00,0.90,0.05,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,92.00,PE,1.00,1.00,0.55,0.65,0.65,568000,56800,121,105.85
2024-01-01,MOTHERSON,2024-03-28,118.00,PE,0.00,0.00,0.00,20.20,13.05,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,118.00,CE,0.00,0.00,0.00,1.10,1.70,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,118.00,PE,0.00,0.00,0.00,25.15,12.00,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,104.00,CE,4.75,7.90,4.75,6.25,6.25,475700,14200,597,105.85
2024-01-01,MOTHERSON,2024-03-28,104.00,CE,0.00,0.00,0.00,5.45,8.20,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,104.00,PE,0.00,0.00,0.00,9.95,4.70,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,117.00,CE,0.00,0.00,0.00,1.20,1.90,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,117.00,CE,0.00,0.00,0.00,2.15,3.00,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,117.00,PE,0.00,0.00,0.00,19.40,12.30,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,82.00,CE,0.00,0.00,0.00,13.85,24.80,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,82.00,PE,0.00,0.00,0.00,2.50,0.05,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,82.00,PE,0.00,0.00,0.00,2.35,0.05,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,84.00,CE,0.00,0.00,0.00,12.45,22.90,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,115.00,PE,0.00,0.00,0.00,22.30,10.30,0,0,0,105.85
2024-01-01,MOTHERSON,2024-01-25,106.00,PE,6.45,6.45,3.85,4.80,4.80,411800,269800,244,105.85
2024-01-01,MOTHERSON,2024-03-28,106.00,PE,0.00,0.00,0.00,11.20,5.60,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,88.00,CE,0.00,0.00,0.00,13.90,19.90,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,112.00,PE,0.00,0.00,0.00,15.45,8.95,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,88.00,CE,0.00,0.00,0.00,9.95,19.10,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,112.00,CE,0.00,0.00,0.00,3.10,4.55,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,112.00,CE,0.00,0.00,0.00,1.80,3.25,0,0,0,105.85
2024-01-01,MOTHERSON,2024-02-29,93.00,CE,0.00,0.00,0.00,7.30,14.65,0,0,0,105.85
2024-01-01,MOTHERSON,2024-03-28,120.00,PE,0.00,0.00,0.00,21.90,14.55,0,0,0,105.85
