TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-11-29,JIOFIN,2025-01-30,340.00,PE,0.00,0.00,0.00,25.85,24.20,0,0,0,328.35
2024-11-29,JIOFIN,2024-12-26,340.00,PE,14.50,16.50,14.50,15.50,15.50,16500,16500,12,328.35
2024-11-29,JIOFIN,2025-01-30,290.00,PE,0.00,0.00,0.00,5.35,4.80,0,0,0,328.35
2024-11-29,JIOFIN,2024-12-26,290.00,CE,0.00,0.00,0.00,38.90,41.35,0,0,0,328.35
2024-11-29,JIOFIN,2025-02-27,330.00,CE,0.00,0.00,0.00,24.65,26.10,0,0,0,328.35
2024-11-29,JIOFIN,2025-01-30,355.00,PE,0.00,0.00,0.00,35.70,33.70,0,0,0,328.35
2024-11-29,JIOFIN,2025-01-30,355.00,CE,0.00,0.00,0.00,10.55,11.45,0,0,0,328.35
2024-11-29,JIOFIN,2024-12-26,315.00,PE,0.00,0.00,0.00,7.90,6.80,0,0,0,328.35
2024-11-29,JIOFIN,2025-01-30,315.00,PE,0.00,0.00,0.00,13.20,12.05,0,0,0,328.35
2024-11-29,JIOFIN,2025-01-30,325.00,PE,0.00,0.00,0.00,17.65,16.35,0,0,0,328.35
2024-11-29,JIOFIN,2025-01-30,360.00,PE,0.00,0.00,0.00,39.25,37.20,0,0,0,328.35
2024-11-29,JIOFIN,2024-12-26,370.00,PE,0.00,0.00,0.00,44.55,42.00,0,0,0,328.35
2024-11-29,JIOFIN,2024-12-26,315.00,CE,0.00,0.00,0.00,20.05,21.80,0,0,0,328.35
2024-11-29,JIOFIN,2025-01-30,315.00,CE,0.00,0.00,0.00,27.60,29.30,0,0,0,328.35
2024-11-29,JIOFIN,2025-02-27,360.00,CE,0.00,0.00,0.00,13.45,14.40,0,0,0,328.35
2024-11-29,JIOFIN,2025-01-30,300.00,PE,4.00,4.00,4.00,4.00,4.00,1650,1650,1,328.35
2024-11-29,JIOFIN,2025-01-30,350.00,PE,0.00,0.00,0.00,32.25,30.35,0,0,0,328.35
2024-11-29,JIOFIN,2025-01-30,320.00,PE,0.00,0.00,0.00,15.35,14.10,0,0,0,328.35
2024-11-29,JIOFIN,2024-12-26,320.00,CE,17.30,20.70,15.55,16.05,16.05,75900,75900,95,328.35
2024-11-29,JIOFIN,2025-01-30,320.00,CE,0.00,0.00,0.00,24.80,26.40,0,0,0,328.35
2024-11-29,JIOFIN,2025-02-27,320.00,PE,0.00,0.00,0.00,18.40,17.20,0,0,0,328.35
2024-11-29,JIOFIN,2025-02-27,280.00,PE,2.30,2.40,2.30,2.40,2.40,4950,4950,3,328.35
2024-11-29,JIOFIN,2025-01-30,280.00,CE,0.00,0.00,0.00,52.40,54.85,0,0,0,328.35
2024-11-29,JIOFIN,2025-02-27,340.00,CE,0.00,0.00,0.00,20.35,21.60,0,0,0,328.35
2024-11-29,JIOFIN,2025-01-30,340.00,CE,13.75,13.75,13.75,13.75,13.75,1650,1650,1,328.35
2024-11-29,JIOFIN,2025-02-27,340.00,PE,0.00,0.00,0.00,28.75,27.20,0,0,0,328.35
2024-11-29,JIOFIN,2024-12-26,340.00,CE,7.95,8.85,6.10,6.60,6.60,465300,465300,916,328.35
2024-11-29,JIOFIN,2025-01-30,305.00,CE,0.00,0.00,0.00,33.75,35.70,0,0,0,328.35
2024-11-29,JIOFIN,2024-12-26,290.00,PE,0.85,1.05,0.60,0.80,0.80,33000,33000,123,328.35
2024-11-29,JIOFIN,2024-12-26,305.00,PE,0.00,0.00,0.00,4.75,3.95,0,0,0,328.35
2024-11-29,JIOFIN,2024-12-26,325.00,CE,5.25,16.80,5.25,14.35,14.35,33000,33000,41,328.35
2024-11-29,JIOFIN,2025-01-30,325.00,CE,0.00,0.00,0.00,22.20,23.70,0,0,0,328.35
2024-11-29,JIOFIN,2024-12-26,325.00,PE,7.00,8.20,6.60,7.75,7.75,75900,75900,93,328.35
2024-11-29,JIOFIN,2025-02-27,280.00,CE,0.00,0.00,0.00,55.95,58.30,0,0,0,328.35
2024-11-29,JIOFIN,2025-01-30,335.00,PE,0.00,0.00,0.00,22.95,21.40,0,0,0,328.35
2024-11-29,JIOFIN,2025-01-30,370.00,CE,0.00,0.00,0.00,6.95,7.60,0,0,0,328.35
2024-11-29,JIOFIN,2024-12-26,360.00,CE,3.50,3.50,1.90,2.15,2.15,348150,348150,533,328.35
2024-11-29,JIOFIN,2025-01-30,345.00,CE,0.00,0.00,0.00,13.75,14.80,0,0,0,328.35
2024-11-29,JIOFIN,2024-12-26,295.00,PE,1.80,1.80,0.90,1.05,1.05,46200,46200,71,328.35
2024-11-29,JIOFIN,2025-01-30,295.00,PE,0.00,0.00,0.00,6.60,5.90,0,0,0,328.35
2024-11-29,JIOFIN,2024-12-26,300.00,PE,3.05,3.05,1.20,1.55,1.55,856350,856350,1040,328.35
2024-11-29,JIOFIN,2025-02-27,300.00,CE,0.00,0.00,0.00,41.55,43.55,0,0,0,328.35
2024-11-29,JIOFIN,2025-01-30,350.00,CE,0.00,0.00,0.00,12.05,13.00,0,0,0,328.35
2024-11-29,JIOFIN,2024-12-26,330.00,CE,11.00,13.95,10.15,10.60,10.60,930600,930600,1732,328.35
2024-11-29,JIOFIN,2025-02-27,330.00,PE,0.00,0.00,0.00,23.25,21.90,0,0,0,328.35
2024-11-29,JIOFIN,2025-01-30,330.00,PE,0.00,0.00,0.00,20.20,18.75,0,0,0,328.35
2024-11-29,JIOFIN,2024-12-26,380.00,PE,0.00,0.00,0.00,53.65,51.00,0,0,0,328.35
2024-11-29,JIOFIN,2025-01-30,370.00,PE,0.00,0.00,0.00,46.90,44.70,0,0,0,328.35
2024-11-29,JIOFIN,2025-01-30,310.00,PE,0.00,0.00,0.00,11.25,10.25,0,0,0,328.35
2024-11-29,JIOFIN,2024-12-26,310.00,PE,4.20,4.20,2.40,3.00,3.00,496650,496650,472,328.35
2024-11-29,JIOFIN,2024-12-26,350.00,PE,23.00,23.00,20.80,21.50,21.50,39600,39600,26,328.35
2024-11-29,JIOFIN,2024-12-26,280.00,PE,0.80,0.80,0.35,0.40,0.40,19800,19800,26,328.35
2024-11-29,JIOFIN,2025-01-30,280.00,PE,0.00,0.00,0.00,3.45,3.05,0,0,0,328.35
2024-11-29,JIOFIN,2024-12-26,330.00,PE,10.00,11.35,8.50,10.05,10.05,602250,602250,767,328.35
2024-11-29,JIOFIN,2025-01-30,330.00,CE,0.00,0.00,0.00,19.80,21.15,0,0,0,328.35
2024-11-29,JIOFIN,2024-12-26,355.00,CE,4.50,4.50,2.50,2.90,2.90,107250,107250,141,328.35
2024-11-29,JIOFIN,2024-12-26,355.00,PE,0.00,0.00,0.00,31.85,29.55,0,0,0,328.35
2024-11-29,JIOFIN,2025-01-30,305.00,PE,0.00,0.00,0.00,9.50,8.60,0,0,0,328.35
2024-11-29,JIOFIN,2025-01-30,290.00,CE,0.00,0.00,0.00,44.45,46.70,0,0,0,328.35
