TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-11-29,UNIONBANK,2025-01-30,115.00,PE,0.00,0.00,0.00,5.55,5.50,0,0,0,121.60
2024-11-29,UNIONBANK,2025-02-27,116.00,CE,0.00,0.00,0.00,15.20,15.05,0,0,0,121.60
2024-11-29,UNIONBANK,2025-01-30,111.00,PE,0.00,0.00,0.00,4.15,4.10,0,0,0,121.60
2024-11-29,UNIONBANK,2025-01-30,117.00,CE,0.00,0.00,0.00,12.55,12.35,0,0,0,121.60
2024-11-29,UNIONBANK,2024-12-26,117.00,CE,0.00,0.00,0.00,9.15,8.95,0,0,0,121.60
2024-11-29,UNIONBANK,2025-01-30,117.00,PE,0.00,0.00,0.00,6.40,6.35,0,0,0,121.60
2024-11-29,UNIONBANK,2024-12-26,123.00,PE,0.00,0.00,0.00,6.60,6.55,0,0,0,121.60
2024-11-29,UNIONBANK,2025-01-30,123.00,CE,0.00,0.00,0.00,9.50,9.30,0,0,0,121.60
2024-11-29,UNIONBANK,2025-02-27,124.00,CE,0.00,0.00,0.00,11.20,11.05,0,0,0,121.60
2024-11-29,UNIONBANK,2025-01-30,124.00,PE,0.00,0.00,0.00,9.80,9.75,0,0,0,121.60
2024-11-29,UNIONBANK,2025-01-30,124.00,CE,0.00,0.00,0.00,9.05,8.85,0,0,0,121.60
2024-11-29,UNIONBANK,2024-12-26,124.00,PE,7.00,7.00,3.95,4.85,4.85,44250,44250,34,121.60
2024-11-29,UNIONBANK,2025-02-27,124.00,PE,0.00,0.00,0.00,11.30,11.25,0,0,0,121.60
2024-11-29,UNIONBANK,2024-12-26,124.00,CE,5.30,5.30,3.60,4.00,4.00,61950,61950,37,121.60
2024-11-29,UNIONBANK,2025-02-27,120.00,CE,0.00,0.00,0.00,13.10,12.95,0,0,0,121.60
2024-11-29,UNIONBANK,2024-12-26,140.00,PE,0.00,0.00,0.00,18.85,18.85,0,0,0,121.60
2024-11-29,UNIONBANK,2024-12-26,140.00,CE,1.50,1.50,0.50,0.70,1.20,207975,207975,84,121.60
2024-11-29,UNIONBANK,2025-01-30,121.00,PE,0.00,0.00,0.00,8.20,8.20,0,0,0,121.60
2024-11-29,UNIONBANK,2025-01-30,125.00,CE,0.00,0.00,0.00,8.60,8.45,0,0,0,121.60
2024-11-29,UNIONBANK,2024-12-26,125.00,PE,4.00,5.55,4.00,5.55,5.55,35400,35400,33,121.60
2024-11-29,UNIONBANK,2025-01-30,123.00,PE,0.00,0.00,0.00,9.25,9.20,0,0,0,121.60
2024-11-29,UNIONBANK,2024-12-26,123.00,CE,4.30,4.70,4.25,4.65,4.65,22125,22125,9,121.60
2024-11-29,UNIONBANK,2024-12-26,120.00,CE,8.60,9.90,5.40,5.95,5.95,274350,274350,99,121.60
2024-11-29,UNIONBANK,2024-12-26,115.00,CE,0.00,0.00,0.00,10.40,10.25,0,0,0,121.60
2024-11-29,UNIONBANK,2025-02-27,132.00,PE,0.00,0.00,0.00,16.00,16.00,0,0,0,121.60
2024-11-29,UNIONBANK,2025-02-27,108.00,PE,0.00,0.00,0.00,4.50,4.45,0,0,0,121.60
2024-11-29,UNIONBANK,2024-12-26,108.00,PE,0.00,0.00,0.00,1.30,1.25,0,0,0,121.60
2024-11-29,UNIONBANK,2024-12-26,108.00,CE,0.00,0.00,0.00,15.60,15.40,0,0,0,121.60
2024-11-29,UNIONBANK,2024-12-26,129.00,CE,3.45,4.00,1.95,2.35,2.35,26550,26550,22,121.60
2024-11-29,UNIONBANK,2024-12-26,129.00,PE,0.00,0.00,0.00,10.25,10.20,0,0,0,121.60
2024-11-29,UNIONBANK,2024-12-26,113.00,PE,0.00,0.00,0.00,2.50,2.40,0,0,0,121.60
2024-11-29,UNIONBANK,2024-12-26,136.00,PE,0.00,0.00,0.00,15.50,15.50,0,0,0,121.60
2024-11-29,UNIONBANK,2025-02-27,136.00,PE,0.00,0.00,0.00,18.65,18.65,0,0,0,121.60
2024-11-29,UNIONBANK,2025-01-30,136.00,CE,0.00,0.00,0.00,4.80,4.65,0,0,0,121.60
2024-11-29,UNIONBANK,2025-01-30,134.00,PE,0.00,0.00,0.00,16.00,16.00,0,0,0,121.60
2024-11-29,UNIONBANK,2024-12-26,134.00,CE,1.50,1.50,1.05,1.35,1.35,70800,70800,46,121.60
2024-11-29,UNIONBANK,2025-02-27,134.00,PE,0.00,0.00,0.00,17.30,17.30,0,0,0,121.60
2024-11-29,UNIONBANK,2025-02-27,134.00,CE,0.00,0.00,0.00,7.40,7.30,0,0,0,121.60
