TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2025-05-30,MAZDOCK,2025-07-31,4100.00,CE,0.00,0.00,0.00,317.15,207.35,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-08-28,3200.00,PE,0.00,0.00,0.00,236.45,315.40,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-07-31,3000.00,CE,0.00,0.00,0.00,900.75,683.55,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-06-26,3400.00,CE,388.80,388.80,224.95,235.80,235.80,63175,63175,883,3478.30
2025-05-30,MAZDOCK,2025-06-26,3600.00,CE,170.00,231.80,135.00,142.40,142.40,182875,182875,6067,3478.30
2025-05-30,MAZDOCK,2025-08-28,3400.00,PE,0.00,0.00,0.00,316.20,412.15,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-07-31,3500.00,CE,0.00,0.00,0.00,579.40,411.15,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-06-26,4400.00,CE,39.50,39.50,13.00,13.90,13.90,23800,23800,350,3478.30
2025-05-30,MAZDOCK,2025-07-31,3900.00,PE,0.00,0.00,0.00,495.25,640.45,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-07-31,4200.00,PE,0.00,0.00,0.00,686.10,858.60,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-07-31,3800.00,PE,0.00,0.00,0.00,438.15,573.65,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-06-26,4100.00,CE,50.00,56.20,29.50,31.10,31.10,10500,10500,298,3478.30
2025-05-30,MAZDOCK,2025-06-26,4200.00,CE,40.10,43.00,20.00,22.30,22.30,32550,32550,795,3478.30
2025-05-30,MAZDOCK,2025-07-31,3200.00,CE,0.00,0.00,0.00,760.75,562.15,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-08-28,3200.00,CE,0.00,0.00,0.00,840.00,645.55,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-07-31,3100.00,PE,0.00,0.00,0.00,142.45,207.70,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-08-28,3600.00,PE,0.00,0.00,0.00,409.05,522.00,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-08-28,3800.00,PE,0.00,0.00,0.00,514.35,643.90,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-08-28,4200.00,PE,0.00,0.00,0.00,758.85,919.50,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-07-31,4400.00,CE,0.00,0.00,0.00,229.05,143.95,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-06-26,4000.00,CE,61.25,90.00,40.05,42.65,42.65,219450,219450,6392,3478.30
2025-05-30,MAZDOCK,2025-07-31,3400.00,PE,0.00,0.00,0.00,246.10,341.15,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-06-26,3000.00,PE,53.00,62.85,23.65,31.90,31.90,47600,47600,1179,3478.30
2025-05-30,MAZDOCK,2025-06-26,4400.00,PE,0.00,0.00,0.00,722.70,943.35,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-06-26,4000.00,PE,566.00,566.00,421.00,421.00,604.90,700,700,4,3478.30
2025-05-30,MAZDOCK,2025-06-26,3800.00,PE,350.00,469.05,320.00,374.60,374.60,4025,4025,32,3478.30
2025-05-30,MAZDOCK,2025-08-28,4200.00,CE,0.00,0.00,0.00,378.80,265.80,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-07-31,3600.00,PE,408.00,408.00,300.00,300.00,450.10,525,525,3,3478.30
2025-05-30,MAZDOCK,2025-07-31,3100.00,CE,0.00,0.00,0.00,828.90,620.70,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-08-28,3000.00,PE,0.00,0.00,0.00,169.90,232.55,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-06-26,4200.00,PE,0.00,0.00,0.00,567.35,768.40,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-07-31,3400.00,CE,0.00,0.00,0.00,635.90,457.45,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-06-26,3300.00,PE,140.00,140.00,74.70,96.90,96.90,33250,33250,564,3478.30
2025-05-30,MAZDOCK,2025-06-26,3100.00,CE,0.00,0.00,0.00,720.90,495.40,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-07-31,3700.00,PE,0.00,0.00,0.00,384.55,510.15,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-06-26,3900.00,PE,0.00,0.00,0.00,364.95,528.40,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-06-26,3200.00,CE,430.00,445.00,370.00,370.00,370.00,700,700,5,3478.30
2025-05-30,MAZDOCK,2025-08-28,3000.00,CE,0.00,0.00,0.00,970.20,759.40,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-08-28,3600.00,CE,0.00,0.00,0.00,619.20,458.60,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-06-26,3200.00,PE,90.00,120.75,52.00,68.80,68.80,114275,114275,3571,3478.30
2025-05-30,MAZDOCK,2025-06-26,3900.00,CE,75.00,102.60,54.20,58.25,58.25,30625,30625,913,3478.30
2025-05-30,MAZDOCK,2025-07-31,3900.00,CE,0.00,0.00,0.00,390.75,262.35,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-06-26,3800.00,CE,150.00,150.00,74.60,79.50,79.50,95900,95900,2870,3478.30
2025-05-30,MAZDOCK,2025-07-31,3800.00,CE,0.00,0.00,0.00,432.50,294.45,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-06-26,3000.00,CE,0.00,0.00,0.00,804.40,567.90,0,0,0,3478.30
2025-05-30,MAZDOCK,2025-06-26,3300.00,CE,0.00,0.00,0.00,567.50,367.65,0,0,0,3478.30
